patch_id,severity,warning_level,reasons,is_anomaly,ndvi_mean,stressed_coverage,trend
10000,MODERATE,3,['Low vegetation index: 0.044'],False,0.04449462890625,6.488037109375,-0.0011023380575638
10001,MODERATE,3,['Low vegetation index: 0.025'],False,0.0249946061954941,5.4931640625,0.001279249683819
10002,CRITICAL,7,"['High stressed area: 32.7%', 'Low vegetation index: 0.089', 'Flagged as anomaly by multiple methods']",True,0.0890573900799418,32.672119140625,0.0027424804540027
10003,MODERATE,3,['Low vegetation index: 0.028'],False,0.0278334506722383,2.64892578125,0.0013468657977197
10004,MODERATE,3,['Low vegetation index: 0.027'],False,0.0270187023074127,3.057861328125,0.0006621420401455
10005,MODERATE,3,['Low vegetation index: 0.031'],False,0.0305502248364825,3.271484375,0.0011632073073184
10006,HIGH,5,"['Low vegetation index: 0.056', 'Flagged as anomaly by multiple methods']",True,0.0561338912609011,11.77978515625,0.0010727698332735
10007,HIGH,5,"['Low vegetation index: -0.127', 'Flagged as anomaly by multiple methods']",True,-0.1267331145530523,0.091552734375,0.0032978985324722
10008,MODERATE,3,['Low vegetation index: 0.021'],False,0.0212970112645348,4.47998046875,-0.0001004287318785
10009,HIGH,5,"['Low vegetation index: 0.043', 'Flagged as anomaly by multiple methods']",True,0.0432214071584302,7.965087890625,0.0018557931893687
patch_10000,MODERATE,3,['Low vegetation index: 0.056'],False,0.0562715752180232,9.942626953125,0.0012455153630889
patch_10001,MODERATE,3,['Low vegetation index: 0.024'],False,0.0238519712936046,5.389404296875,0.0011606449736673
patch_10002,MODERATE,3,['Low vegetation index: 0.071'],False,0.070594965025436,26.446533203125,0.0021297969835397
patch_10003,MODERATE,3,['Low vegetation index: 0.021'],False,0.02081298828125,1.08642578125,0.0011425795997244
patch_10004,MODERATE,3,['Low vegetation index: 0.026'],False,0.0257568359375,2.935791015625,0.0007442657553656
patch_10005,MODERATE,3,['Low vegetation index: 0.030'],False,0.0296616665152616,3.25927734375,0.0010808900345203
patch_10006,HIGH,5,"['Low vegetation index: 0.053', 'Flagged as anomaly by multiple methods']",True,0.0530083234920058,10.443115234375,0.0008486946771887
patch_10007,HIGH,5,"['Low vegetation index: -0.134', 'Flagged as anomaly by multiple methods']",True,-0.1338983580123546,0.006103515625,0.0020697664832896
patch_10008,HIGH,5,"['Low vegetation index: 0.024', 'Flagged as anomaly by multiple methods']",True,0.0240123660065407,4.62646484375,3.153145115240931e-05
patch_10009,MODERATE,3,['Low vegetation index: 0.033'],False,0.0326098065043604,6.195068359375,0.0016490736961076
patch_10010,MODERATE,3,['Low vegetation index: 0.082'],False,0.0823321675145348,29.156494140625,0.0033214849059007
patch_10011,MODERATE,3,['Low vegetation index: 0.029'],False,0.028774527616279,4.718017578125,0.0015009284127482
patch_10012,MODERATE,3,['Low vegetation index: 0.010'],False,0.0104724972747093,0.653076171875,0.0002219828908373
patch_10013,MODERATE,3,['Low vegetation index: 0.053'],False,0.0530026458030523,11.85302734375,0.003200373164263
patch_10014,MODERATE,3,['Low vegetation index: 0.054'],False,0.0541552166606104,14.013671875,0.0033919490813056
patch_10015,HIGH,5,"['Low vegetation index: -0.066', 'Flagged as anomaly by multiple methods']",True,-0.0662188862645348,0.91552734375,0.0005235824654088
patch_10016,MODERATE,3,['Low vegetation index: 0.033'],False,0.0332513853561046,1.5869140625,0.0011694380179232
patch_10017,MODERATE,3,['Low vegetation index: 0.045'],False,0.0453917037609011,4.4677734375,0.0009539623485163
patch_10018,MODERATE,3,['Low vegetation index: 0.043'],False,0.0426834461300872,5.517578125,0.0019730061283647
patch_10019,MODERATE,3,['Low vegetation index: 0.034'],False,0.0339525799418604,2.734375,0.0008393209601989
patch_10020,MODERATE,3,['Low vegetation index: 0.064'],False,0.064163562863372,17.5048828125,0.0027752562038706
patch_10021,MODERATE,3,['Low vegetation index: 0.032'],False,0.032497672147529,5.0048828125,0.002102376326662
patch_10022,MODERATE,3,['Low vegetation index: 0.076'],False,0.0764955032703488,26.239013671875,0.0030253602456772
patch_10023,MODERATE,3,['Low vegetation index: 0.026'],False,0.0255183730014534,0.0244140625,0.0008432289798682
patch_10024,MODERATE,3,['Low vegetation index: 0.050'],False,0.0502234170603197,6.0302734375,0.0022931227112277
patch_10025,MODERATE,3,['Low vegetation index: 0.043'],False,0.0430368822674418,7.940673828125,0.0017861585464408
patch_10026,MODERATE,3,['Low vegetation index: 0.036'],False,0.0356729196947674,4.473876953125,0.0024167691354339
patch_10027,MODERATE,3,['Low vegetation index: 0.062'],False,0.0620543014171511,8.514404296875,0.0035887694870082
patch_10028,CRITICAL,7,"['High stressed area: 40.8%', 'Low vegetation index: 0.099', 'Flagged as anomaly by multiple methods']",True,0.0985008062318314,40.80810546875,0.0044232699418132
patch_10029,MODERATE,3,['Low vegetation index: 0.033'],False,0.0328610442405523,0.1708984375,0.0015229294574429
patch_10030,HIGH,5,"['Low vegetation index: 0.004', 'Flagged as anomaly by multiple methods']",True,0.0036535928415697,0.2197265625,-0.0002722341248867
patch_10031,MODERATE,3,['Low vegetation index: 0.046'],False,0.0461553529251453,6.671142578125,0.001834658545261
patch_10032,MODERATE,3,['Low vegetation index: 0.073'],False,0.0730377906976744,23.0712890625,0.0028906902565548
patch_10033,MODERATE,3,['Low vegetation index: 0.007'],False,0.0067110283430232,1.25732421875,5.569849731482167e-05
patch_10034,MODERATE,3,['Low vegetation index: 0.062'],False,0.0617150595021802,25.28076171875,0.0032324115519291
patch_10035,MODERATE,3,['Low vegetation index: 0.029'],False,0.0286311659702034,2.984619140625,0.0001282180698571
patch_10036,MODERATE,3,['Low vegetation index: 0.034'],False,0.0341910428779069,2.593994140625,0.0022213036327771
patch_10037,MODERATE,3,['Low vegetation index: 0.047'],False,0.0468849359556686,6.0791015625,0.0028226778104707
patch_10038,MODERATE,3,['Low vegetation index: 0.024'],False,0.0238661655159883,0.57373046875,0.0003402650050258
patch_10039,MODERATE,3,['Low vegetation index: 0.045'],False,0.0447572220203488,6.524658203125,0.0010712029385948
patch_10040,MODERATE,3,['Low vegetation index: 0.037'],False,0.0370824059774709,0.335693359375,0.0024420883100366
patch_10041,CRITICAL,7,"['High stressed area: 52.9%', 'Low vegetation index: 0.109', 'Flagged as anomaly by multiple methods']",True,0.1088185864825581,52.9296875,0.0067700910553835
patch_10042,MODERATE,3,['Low vegetation index: 0.035'],False,0.0348255246184593,2.34375,0.0012899783038545
patch_10043,MODERATE,3,['Low vegetation index: 0.027'],False,0.0269122456395348,1.995849609375,0.0011628570602725
patch_10044,MODERATE,3,['Low vegetation index: 0.030'],False,0.0298376748728197,4.98046875,0.001900744632593
patch_10045,MODERATE,3,['Low vegetation index: 0.052'],False,0.0522688045058139,3.91845703125,0.0016469537797776
patch_10046,MODERATE,3,['Low vegetation index: 0.031'],False,0.0309803097747093,0.5126953125,0.0004551921211963
patch_10047,MODERATE,3,['Low vegetation index: 0.029'],False,0.0285133539244186,0.0,0.0024237095571579
patch_10048,MODERATE,3,['Low vegetation index: 0.022'],False,0.02227783203125,3.2958984375,0.0010392106360663
patch_10049,MODERATE,3,['Low vegetation index: 0.078'],False,0.0775331009265988,21.844482421875,0.0024711680318682
